year,type,importance,event,image,link,
1970,thailand,3,มิตร ชัยบัญชา เสียชีวิตจากการตกเฮลิคอปเตอร์,mitchaibancha.jpg,https://th.wikipedia.org/wiki/%E0%B8%A1%E0%B8%B4%E0%B8%95%E0%B8%A3_%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B2
1972,world,4,เฟอร์ดินาน มาร์กอส ประกาศใช้กฏอัยการศึกในฟิลิปปินส์,ferdinand marcos.jpg,https://en.wikipedia.org/wiki/Martial_law_under_Ferdinand_Marcos
1973,thailand,1,เหตุการณ์ 14 ตุลา,14 Oct.jpg,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C_14_%E0%B8%95%E0%B8%B8%E0%B8%A5%E0%B8%B2
1974,world,1,ริชาร์ด นิกสัน ลาออกจากการเป็นประธานาธิบดี,nixon quit.jpg,https://en.wikipedia.org/wiki/Richard_Nixon
1975,world,3,กลุ่มเขมรแดงขึ้นสู่อำนาจ,khmer rouge.svg,https://en.wikipedia.org/wiki/Khmer_Rouge
1975,world,4,กลุ่มปะเทดลาวขึ้นสู่อำนาจ,pathet lao.jpg,https://en.wikipedia.org/wiki/Pathet_Lao
1975,world,1,กองทัพเวียดนามเหนือยึดไซ่ง่อน สิ้นสุดสงครามเวียดนาม,end vietnam war.jpg,https://en.wikipedia.org/wiki/Fall_of_Saigon
1975,world,2,Microsoft ก่อตั้ง,microsoft.png,https://en.wikipedia.org/wiki/Microsoft
1976,thailand,1,เหตุการณ์ 6 ตุลา,unlicensed 6 oct.jpg,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%AB%E0%B8%95%E0%B8%B8%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%93%E0%B9%8C_6_%E0%B8%95%E0%B8%B8%E0%B8%A5%E0%B8%B2
1976,world,2,Apple Inc ก่อตั้ง,apple.png,https://en.wikipedia.org/wiki/Apple_Inc.
1977,thailand,2,ภาพยนตร์ แผลเก่า กำกับโดยเชิด ทรงศรี ออกฉาย,unlicensed old scar.jpg,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%9C%E0%B8%A5%E0%B9%80%E0%B8%81%E0%B9%88%E0%B8%B2
1977,world,3,ภาพยนตร์ Star Wars ออกฉาย,star wars.jpg,https://en.wikipedia.org/wiki/Star_Wars_(film)
1977,world,1,เตี้งเสี่ยวผิงขึ้นสู่อำนาจ จีนเปิดประเทศ,Deng Xiaoping.jpg,https://en.wikipedia.org/wiki/Deng_Xiaoping
1978,thailand,2,CPF ก่อตั้ง,CPF.png,https://en.wikipedia.org/wiki/Charoen_Pokphand_Foods
1979,world,3,มาร์กาเร็ต แธตเชอร์ เป็นนายกรัฐมนตรี,margaret thatcher.jpg,https://en.wikipedia.org/wiki/Margaret_Thatcher
1980,thailand,1,ช่อง 9 การ์ตูนเริ่มฉาย,modern 9.jpg,https://th.wikipedia.org/wiki/%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87_9_%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%95%E0%B8%B9%E0%B8%99
1981,thailand,2,the Mall Group เปิดห้างแห่งแรกของไทย บนถนนราชดำริ,the mall.jpg,https://en.wikipedia.org/wiki/The_Mall_Group
1981,thailand,4,ร้านอาหาร Inter ที่สยามเปิดให้บริการ,unlicensed inter restaurant.jpg,https://www.wongnai.com/reviews/6beb02ace7d347cc9e46a8a31aba7827
1981,world,3,โรนัลด์ รีแกน เป็นประธานาธิบดี,ronald reagan.jpg,https://en.wikipedia.org/wiki/Ronald_Reagan
1982,thailand,2,Central Group เปิดห้างแห่งแรกที่ลาดพร้าว,central ladprao.jpg,https://en.wikipedia.org/wiki/CentralPlaza_Lardprao
1982,thailand,3,สาว สาว สาวออกอัลบั้มแรก,sao sao sao.jpg,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%B2%E0%B8%A7_%E0%B8%AA%E0%B8%B2%E0%B8%A7_%E0%B8%AA%E0%B8%B2%E0%B8%A7
