year,type,importance,event,link,
1982,thailand,2,Central Group มีห้างแห่งแรกที่ลาดพร้าว,,https://en.wikipedia.org/wiki/CentralPlaza_Lardprao
1982,thailand,4,สาว สาว สาว ออกอัลบั้มแรก,,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%B2%E0%B8%A7_%E0%B8%AA%E0%B8%B2%E0%B8%A7_%E0%B8%AA%E0%B8%B2%E0%B8%A7
1984,thailand,2,ก่อตั้งแกรมมี ดังเป็นพลุแตกจากอัลบั้มแรกของเต๋อเรวัตกับคาราบาว,,https://th.wikipedia.org/wiki/%E0%B8%88%E0%B8%B5%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1%E0%B9%80%E0%B8%AD%E0%B9%87%E0%B8%A1_%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%A1%E0%B8%A1%E0%B8%B5%E0%B9%88
1984,world,2,"Apple Macintosh launched, dawn of personal computing",,
1985,thailand,5,แมคโดนัลด์สาขาแรกในไทย,,
1985,world,5,1st Mario game on Super Famicom,,
1986,thailand,2,พี่เบิร์ดปล่อยอัลบั้มแรก หาดทรายสายลมสองเรา,,https://en.wikipedia.org/wiki/Thongchai_McIntyre
1986,thailand,3,"อัสนี วสันต์ ออกอัลบั้มแรก ""บ้าหอบฟาง""",,
1986,world,2,Chernobyl disaster,,
1989,thailand,2,เซเว่นแห่งแรกของไทย บนถนนพัฒน์พงศ์,,https://en.wikipedia.org/wiki/Charoen_Pokphand#7-Eleven
1989,world,1,World Wide Web invented,,
1989,world,2,Tainanmen Square massacre,,
1990,world,1,ทลายกำแพงเบอร์ลิน,berlin wall,https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall
1991,world,3,Dissolution of the Soviet Union,,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
1991,world,1,End of Cold War,,
1991,world,5,Michael Jordan won his first NBA,,https://en.wikipedia.org/wiki/Michael_Jordan
1992,thailand,1,พฤษภาทมิฬ,,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A4%E0%B8%A9%E0%B8%A0%E0%B8%B2%E0%B8%97%E0%B8%A1%E0%B8%B4%E0%B8%AC
1993,thailand,4,เจเจตรินออกอัลบั้ม 108-1009 (ยุ่งน่า ก็ใครมันจะไปรู้ล่ะ ประมาณนี้หรือเปล่า คาใจ),,https://th.wikipedia.org/wiki/%E0%B9%80%E0%B8%88%E0%B8%95%E0%B8%A3%E0%B8%B4%E0%B8%99_%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%98%E0%B8%99%E0%B8%B0%E0%B8%AA%E0%B8%B4%E0%B8%99#%E0%B8%9C%E0%B8%A5%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%9E%E0%B8%A5%E0%B8%87
1993,world,2,The European Union was founded,,
1994,world,1,Nelson Mendala became a president,mendela,https://en.wikipedia.org/wiki/Nelson_Mandela
1995,thailand,1,น้ำท่วมใหญ่,,https://th.wikipedia.org/wiki/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%81%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2538
1995,world,4,"Toy Story, 1st computer animated film",,
1996,thailand,4,สมรักษ์ คำสิงห์ ได้เหรียญทองโอลิมปิกเหรียญแรกของไทย,,
1996,world,5,1st Pokemon game released,,
1997,thailand,1,วิกฤติต้มยำกุ้ง,,https://th.wikipedia.org/wiki/%E0%B8%A7%E0%B8%B4%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3%E0%B8%81%E0%B8%B8%E0%B9%89%E0%B8%87
1997,world,2,Princess Diana Died,,"https://en.wikipedia.org/wiki/Death_of_Diana,_Princess_of_Wales"
1997,world,2,Hong Kong independence,,
1997,world,4,1st Harry Potter book published,,
1998,world,1,บริษัทกูเกิลก่อตั้ง,google,https://en.wikipedia.org/wiki/Google
1999,thailand,2,รถไฟฟ้า BTS เปิดให้บริการ,,
2000,thailand,3,นิตยสารอะเดย์เล่มแรก,,
2001,thailand,1,ทักษิณเป็นนายก,,https://th.wikipedia.org/wiki/%E0%B8%97%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B4%E0%B8%93_%E0%B8%8A%E0%B8%B4%E0%B8%99%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%A3#%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%94%E0%B8%B3%E0%B8%A3%E0%B8%87%E0%B8%95%E0%B8%B3%E0%B9%81%E0%B8%AB%E0%B8%99%E0%B9%88%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%A1%E0%B8%99%E0%B8%95%E0%B8%A3%E0%B8%B5
2001,thailand,4,สุริโยไทออกฉาย,,https://th.m.wikipedia.org/wiki/%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B4%E0%B9%82%E0%B8%A2%E0%B9%84%E0%B8%97
2001,world,1,9-11 incident,,
2003,world,1,Beginning of Facebook,,https://en.wikipedia.org/wiki/Facebook
2003,world,2,SARS outbreak,,
2004,thailand,3,พันธมิตร (เสื้อเหลือง) ก่อตั้ง,,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B9%89%E0%B8%A7%E0%B8%87%E0%B8%82%E0%B8%B1%E0%B8%9A%E0%B8%97%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B4%E0%B8%93_%E0%B8%8A%E0%B8%B4%E0%B8%99%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%95%E0%B8%B3%E0%B9%81%E0%B8%AB%E0%B8%99%E0%B9%88%E0%B8%87
2004,thailand,1,สึนามิ,,
2004,thailand,1,ไข้หวัดนก,,https://th.wikipedia.org/wiki/%E0%B9%84%E0%B8%82%E0%B9%89%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%99%E0%B8%81
2005,thailand,2,บอดี้สแลมออกอัลบั้มบีลีฟ (ขอบฟ้า ความรักทำให้คนตาบอด คนที่ถูกรัก ความเชื่อ),,https://th.wikipedia.org/wiki/%E0%B8%9A%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%89%E0%B8%AA%E0%B9%81%E0%B8%A5%E0%B8%A1#%E0%B8%AD%E0%B8%B1%E0%B8%A5%E0%B8%9A%E0%B8%B1%E0%B9%89%E0%B8%A1_%E0%B8%9A%E0%B8%B5%E0%B8%A5%E0%B8%B5%E0%B8%9F_(%E0%B8%9E.%E0%B8%A8._2548%E2%80%932549)
2005,thailand,4,สยามพารากอนเปิดให้บริการ,,https://th.wikipedia.org/wiki/%E0%B8%AA%E0%B8%A2%E0%B8%B2%E0%B8%A1%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%81%E0%B8%AD%E0%B8%99
2006,thailand,1,รัฐประหาร โดยคมช. (ไล่ทักษิณ),,https://th.wikipedia.org/wiki/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2549
2006,thailand,2,เปิดสนามบินสุวรรณภูมิ,,
2006,thailand,4,พระราชพิธีฉลองสิริราชสมบัติครบ 60 ปี,,https://th.wikipedia.org/wiki/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%89%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%AA%E0%B8%A1%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%84%E0%B8%A3%E0%B8%9A_60_%E0%B8%9B%E0%B8%B5
2006,world,4,"""An Inconvenient Truth"" documentary",,
2007,thailand,3,นปช. (เสื้อแดง) ก่อตั้ง,,https://th.wikipedia.org/wiki/%E0%B9%81%E0%B8%99%E0%B8%A7%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%9B%E0%B9%84%E0%B8%95%E0%B8%A2%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%9C%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4
2007,thailand,5,หนังพระนเรศวรภาคแรก,,https://en.wikipedia.org/wiki/King_Naresuan_%28film%29
2007,world,4,iPhone announced,,
2008,thailand,2,BACC เปิด,,https://en.wikipedia.org/wiki/Bangkok_Art_and_Culture_Centre
2008,world,1,Housing Market Crash,,
2008,world,3,Beijing Olympics,,https://en.wikipedia.org/wiki/2008_Summer_Olympics
2008,world,5,Iron Man,,
2009,world,1,บารัค โอบามา ขึ้นเป็นประธานาธิบดี,obama,https://en.wikipedia.org/wiki/Barack_Obama
2010,thailand,1,เผากรุงเทพ,,https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%8A%E0%B8%B8%E0%B8%A1%E0%B8%99%E0%B8%B8%E0%B8%A1%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%81%E0%B8%99%E0%B8%A7%E0%B8%A3%E0%B9%88%E0%B8%A7%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%B2%E0%B8%98%E0%B8%B4%E0%B8%9B%E0%B9%84%E0%B8%95%E0%B8%A2%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%9C%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4_%E0%B8%9E.%E0%B8%A8._2553
2010,world,2,Arab Spring started,,https://en.wikipedia.org/wiki/Arab_Spring#Timeline
2011,thailand,1,มหาอุทกภัย น้ำท่วมใหญ่กรุงเทพ,,https://th.wikipedia.org/wiki/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%81%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%97%E0%B8%A2_%E0%B8%9E.%E0%B8%A8._2554
2011,world,4,Steve Jobs Died,,https://en.wikipedia.org/wiki/Steve_Jobs
